id,plan_id,numero_orden,descripcion_componente,actividad,tiempo_min,tiempo_promedio,tiempo_max,costo_estimado
394,45,2,Carrocería,Reparar abolladuras,19,32,48,423.12
395,45,3,Sistema de Refrigeración,Revisar mangueras,45,62,91,288.92
396,45,4,Cabina,Verificar tablero,21,33,62,421.05
397,46,1,Sistema de Escape,Verificar silenciador,23,34,59,142.3
398,46,2,Sistema de Combustible,Drenar tanque,27,53,66,251.44
399,46,3,Carrocería,Reparar abolladuras,35,46,75,111.51
400,46,4,Motor,Revisar nivel de refrigerante,22,52,80,88.93
401,46,5,Sistema Hidráulico,Revisar mangueras,37,63,76,105.48
402,47,1,Sistema de Lubricación,Verificar nivel de aceite,29,43,58,108.73
403,47,2,Carrocería,Reparar abolladuras,32,58,87,148.61
404,47,3,Filtros,Cambiar filtro de cabina,30,47,57,124.28
405,47,4,Tren de Rodaje,Medir desgaste de zapatas,19,39,66,576.25
406,47,5,Motor,Inspeccionar correas,44,60,82,312.98
407,47,6,Sistema de Transmisión,Engrasar crucetas,43,60,83,349.47
408,47,7,Sistema de Frenos,Verificar líquido de frenos,28,55,72,516.98
409,47,8,Sistema Hidráulico,Cambiar sellos de cilindro,15,36,47,117.52
410,48,1,Sistema de Frenos,Purgar sistema de frenos,33,43,63,259.88
411,48,2,Sistema de Escape,Revisar tubo de escape,30,47,67,523.52
412,48,3,Sistema de Combustible,Revisar inyectores,30,44,74,150.41
413,48,4,Tren de Rodaje,Inspeccionar rodillos,44,71,83,147.12
414,48,5,Carrocería,Inspección visual,32,43,65,556.08
415,48,6,Sistema Hidráulico,Medir presiones de bomba,38,56,66,555.26
416,48,7,Sistema de Refrigeración,Cambiar refrigerante,40,56,86,251.37
417,48,8,Motor,Revisar soportes de motor,37,54,81,307.84
418,48,9,Sistema de Lubricación,Cambiar aceite de motor,32,53,64,486.55
419,48,10,Cuchara y Brazo,Revisar dientes,22,44,58,153.17
420,48,11,Sistema de Transmisión,Ajustar embrague,34,63,77,514.01
421,48,12,Sistema de Dirección,Alinear dirección,39,58,70,91.23
422,49,1,Carrocería,Inspección visual,40,69,93,422.36
423,49,2,Filtros,Cambiar filtro de cabina,24,39,54,305.1
424,49,3,Sistema de Escape,Verificar silenciador,19,47,66,298.33
425,49,4,Sistema de Combustible,Verificar bomba de combustible,45,59,89,147.56
426,49,5,Cuchara y Brazo,Verificar pasadores,38,61,84,86.92
427,49,6,Neumáticos,Ajustar pernos de rueda,31,48,75,502.84
428,49,7,Motor,Verificar funcionamiento de motor,21,49,68,579.09
429,49,8,Sistema de Dirección,Alinear dirección,16,28,49,157.55
430,49,9,Cabina,Verificar controles,33,50,79,515.79
431,49,10,Sistema Eléctrico,Inspeccionar conexiones,24,40,50,227.01
432,49,11,Sistema de Frenos,Purgar sistema de frenos,25,50,67,279.91
433,49,12,Sistema Hidráulico,Cambiar aceite hidráulico,18,43,60,86.9
434,49,13,Sistema de Lubricación,Tomar muestra de aceite,26,44,66,390.53
435,49,14,Tren de Rodaje,Revisar tensión de cadena,42,70,80,222.82
436,49,15,Sistema de Refrigeración,Cambiar refrigerante,33,61,86,408.0
437,50,1,Sistema de Escape,Revisar tubo de escape,17,30,53,436.83
438,50,2,Sistema de Combustible,Revisar inyectores,32,61,83,211.81
439,50,3,Sistema de Refrigeración,Verificar termostato,38,64,93,532.9
440,50,4,Tren de Rodaje,Revisar tensión de cadena,23,44,61,453.18
441,51,1,Sistema de Refrigeración,Limpiar radiador,21,34,51,140.13
442,51,2,Motor,Inspeccionar correas,42,54,72,507.89
443,51,3,Sistema de Combustible,Verificar bomba de combustible,16,44,71,377.43
444,51,4,Sistema de Frenos,Verificar líquido de frenos,15,36,61,380.81
445,51,5,Sistema Eléctrico,Inspeccionar conexiones,42,69,89,153.88
446,52,1,Sistema de Lubricación,Verificar nivel de aceite,38,63,84,376.58
447,52,2,Sistema de Refrigeración,Limpiar radiador,23,46,63,514.26
448,52,3,Sistema de Escape,Revisar tubo de escape,21,31,44,296.41
449,52,4,Sistema de Transmisión,Engrasar crucetas,19,29,43,452.35
450,52,5,Cabina,Limpiar filtros de aire acondicionado,45,75,87,424.12
451,52,6,Sistema de Combustible,Cambiar cañerías,31,58,68,532.97
452,52,7,Filtros,Cambiar filtro de cabina,37,62,87,176.33
453,52,8,Sistema Eléctrico,Revisar batería,41,56,73,369.42
454,53,1,Sistema de Transmisión,Ajustar embrague,29,44,56,101.35
455,53,2,Carrocería,Revisar vidrios,28,43,61,273.2
456,53,3,Motor,Revisar nivel de refrigerante,21,45,59,86.68
457,53,4,Neumáticos,Ajustar pernos de rueda,40,51,80,243.98
458,53,5,Filtros,Cambiar filtro de aceite,33,61,84,317.65
459,53,6,Sistema de Escape,Cambiar empaques,21,43,53,325.91
460,53,7,Sistema de Frenos,Revisar discos,15,34,62,275.8
461,53,8,Sistema Hidráulico,Cambiar aceite hidráulico,33,55,77,502.89
462,53,9,Tren de Rodaje,Medir desgaste de zapatas,18,42,63,388.16
463,53,10,Sistema de Lubricación,Engrasar puntos de lubricación,40,52,81,214.68
464,53,11,Sistema de Combustible,Limpiar trampa de agua,17,35,65,304.21
465,53,12,Sistema Eléctrico,Verificar motor de arranque,43,60,75,367.61
466,54,1,Sistema Hidráulico,Medir presiones de bomba,17,38,60,590.97
467,54,2,Sistema de Dirección,Engrasar articulaciones,19,49,74,156.84
468,54,3,Motor,Ajustar válvulas,40,61,81,124.11
469,54,4,Sistema de Refrigeración,Cambiar refrigerante,37,52,71,270.34
470,54,5,Sistema de Frenos,Revisar pastillas,31,59,85,469.72
471,54,6,Filtros,Cambiar filtro de aceite,25,45,61,137.94
472,54,7,Sistema de Combustible,Cambiar cañerías,27,49,74,564.51
473,54,8,Tren de Rodaje,Revisar tensión de cadena,29,52,73,535.64
474,54,9,Sistema de Transmisión,Cambiar aceite de transmisión,19,30,49,255.63
475,54,10,Neumáticos,Ajustar pernos de rueda,44,72,85,225.23
476,54,11,Sistema Eléctrico,Inspeccionar conexiones,15,25,46,266.14
477,54,12,Cabina,Verificar controles,23,34,57,201.01
478,54,13,Sistema de Lubricación,Verificar nivel de aceite,17,37,52,464.44
479,54,14,Sistema de Escape,Cambiar empaques,38,48,58,235.06
480,54,15,Cuchara y Brazo,Verificar pasadores,18,48,63,90.53
481,55,1,Filtros,Limpiar pre-filtro,32,58,69,191.93
482,55,2,Tren de Rodaje,Medir desgaste de zapatas,18,32,62,87.99
483,55,3,Cabina,Revisar cinturón de seguridad,32,59,73,424.97
484,55,4,Sistema Eléctrico,Revisar luces de trabajo,45,63,88,479.53
485,56,1,Sistema de Combustible,Revisar inyectores,22,50,62,141.02
486,56,2,Sistema Eléctrico,Verificar motor de arranque,43,71,100,194.2
487,56,3,Tren de Rodaje,Ajustar tensión,21,35,53,219.82
488,56,4,Sistema de Transmisión,Verificar cardanes,26,42,69,354.39
489,56,5,Motor,Verificar funcionamiento de motor,44,56,86,576.23
490,57,1,Tren de Rodaje,Verificar sprockets,38,64,93,216.47
491,57,2,Sistema de Refrigeración,Limpiar radiador,38,68,91,181.75
492,57,3,Sistema de Lubricación,Cambiar aceite de motor,45,61,80,588.48
493,57,4,Sistema Eléctrico,Inspeccionar conexiones,25,42,61,542.62
494,57,5,Sistema de Dirección,Engrasar articulaciones,24,53,67,196.09
495,57,6,Motor,Revisar nivel de refrigerante,37,65,83,150.62
496,57,7,Filtros,Cambiar filtro de cabina,23,36,60,331.32
497,57,8,Sistema de Transmisión,Engrasar crucetas,19,38,52,228.18
498,58,1,Sistema de Lubricación,Tomar muestra de aceite,16,31,49,92.98
499,58,2,Motor,Verificar funcionamiento de motor,27,37,49,287.18
500,58,3,Sistema de Frenos,Revisar pastillas,34,44,62,421.93
501,58,4,Sistema de Combustible,Drenar tanque,31,41,57,98.53
502,58,5,Cabina,Verificar tablero,38,48,61,129.6
503,58,6,Sistema Hidráulico,Medir presiones de bomba,40,61,72,483.2
504,58,7,Sistema de Escape,Inspeccionar DPF,21,36,66,385.08
505,58,8,Sistema de Dirección,Alinear dirección,37,47,65,381.09
506,58,9,Carrocería,Inspección visual,39,65,92,163.17
507,58,10,Sistema Eléctrico,Verificar alternador,26,45,66,282.54
508,58,11,Tren de Rodaje,Verificar sprockets,42,70,83,141.51
509,58,12,Neumáticos,Inspeccionar desgaste,36,65,90,198.65
510,59,1,Sistema de Transmisión,Revisar convertidor,29,58,75,587.0
511,59,2,Sistema Hidráulico,Medir presiones de bomba,18,47,62,322.87
512,59,3,Carrocería,Pintar partes oxidadas,28,42,57,170.6
513,59,4,Cabina,Verificar controles,28,58,73,126.13
514,59,5,Sistema de Escape,Cambiar empaques,39,52,71,219.7
515,59,6,Tren de Rodaje,Revisar tensión de cadena,38,54,79,485.58
516,59,7,Sistema Eléctrico,Verificar motor de arranque,22,40,54,348.22
517,59,8,Sistema de Refrigeración,Verificar termostato,36,65,92,148.04
518,59,9,Cuchara y Brazo,Cambiar bocinas,42,52,67,464.75
519,59,10,Sistema de Frenos,Ajustar frenos,29,59,87,480.05
520,59,11,Filtros,Cambiar filtro de aceite,33,54,68,555.62
521,59,12,Motor,Revisar nivel de refrigerante,16,41,71,519.41
522,59,13,Neumáticos,Reparar pinchazo,35,50,71,575.36
523,59,14,Sistema de Lubricación,Engrasar puntos de lubricación,20,30,45,216.97
524,59,15,Sistema de Combustible,Limpiar trampa de agua,31,55,65,234.0
525,60,1,Cuchara y Brazo,Engrasar articulaciones,44,56,85,349.99
526,60,2,Carrocería,Revisar vidrios,36,54,75,97.2
527,60,3,Filtros,Cambiar filtro de cabina,32,59,80,153.9
528,60,4,Cabina,Revisar asiento,44,67,94,581.67
529,61,1,Sistema de Escape,Inspeccionar DPF,25,55,65,403.56
530,61,2,Sistema de Combustible,Limpiar trampa de agua,29,42,64,319.66
531,61,3,Cuchara y Brazo,Cambiar bocinas,42,72,94,496.35
532,61,4,Carrocería,Pintar partes oxidadas,43,56,84,333.95
533,61,5,Cabina,Verificar tablero,25,40,63,460.57
534,62,1,Tren de Rodaje,Ajustar tensión,37,59,88,277.89
535,62,2,Carrocería,Inspección visual,18,42,52,557.81
536,62,3,Sistema de Frenos,Revisar discos,44,56,67,526.89
537,62,4,Sistema de Transmisión,Verificar cardanes,30,57,83,174.99
538,62,5,Sistema de Dirección,Revisar terminales,42,67,92,130.53
539,62,6,Sistema de Lubricación,Engrasar puntos de lubricación,35,63,86,164.33
540,62,7,Sistema de Escape,Cambiar empaques,17,38,49,411.33
541,62,8,Sistema Hidráulico,Cambiar aceite hidráulico,21,34,44,152.73
542,63,1,Sistema de Refrigeración,Limpiar radiador,42,53,63,279.27
543,63,2,Sistema Hidráulico,Revisar mangueras,40,60,86,469.23
544,63,3,Sistema de Frenos,Purgar sistema de frenos,17,32,62,418.75
545,63,4,Sistema de Combustible,Drenar tanque,31,51,74,212.19
546,63,5,Tren de Rodaje,Revisar tensión de cadena,39,61,87,493.05
547,63,6,Filtros,Cambiar filtro de combustible,32,48,66,288.86
548,63,7,Sistema de Escape,Inspeccionar DPF,34,45,64,259.28
549,63,8,Cabina,Revisar asiento,35,53,66,429.95
550,63,9,Motor,Revisar soportes de motor,41,59,70,242.38
551,63,10,Neumáticos,Rotar neumáticos,39,65,93,102.64
552,63,11,Sistema Eléctrico,Verificar motor de arranque,18,47,72,556.27
553,63,12,Sistema de Lubricación,Cambiar aceite de motor,42,71,93,544.84
554,64,1,Tren de Rodaje,Inspeccionar rodillos,45,56,82,231.33
555,64,2,Cuchara y Brazo,Soldar refuerzos,42,61,78,502.64
556,64,3,Sistema de Combustible,Verificar bomba de combustible,39,58,80,435.21
557,64,4,Sistema de Refrigeración,Limpiar radiador,24,54,68,283.27
558,64,5,Sistema de Lubricación,Verificar nivel de aceite,16,32,59,317.17
559,64,6,Sistema de Escape,Revisar turbo,32,61,83,375.68
560,64,7,Filtros,Limpiar pre-filtro,32,47,67,356.82
561,64,8,Cabina,Revisar cinturón de seguridad,32,42,58,337.5
562,64,9,Sistema de Transmisión,Verificar cardanes,26,50,78,593.87
563,64,10,Sistema Hidráulico,Cambiar sellos de cilindro,39,66,87,344.78
564,64,11,Motor,Revisar soportes de motor,24,38,60,294.23
565,64,12,Sistema de Frenos,Purgar sistema de frenos,34,49,75,173.72
566,64,13,Sistema Eléctrico,Revisar batería,32,44,74,473.59
567,64,14,Carrocería,Pintar partes oxidadas,25,51,76,506.82
568,64,15,Neumáticos,Rotar neumáticos,38,62,88,442.84
569,65,1,Sistema de Escape,Verificar silenciador,26,54,84,321.74
570,65,2,Sistema Eléctrico,Verificar alternador,44,67,84,390.87
571,65,3,Sistema de Combustible,Drenar tanque,33,49,72,256.47
572,65,4,Tren de Rodaje,Revisar tensión de cadena,29,55,78,373.7
573,66,1,Carrocería,Reparar abolladuras,39,58,74,435.73
574,66,2,Filtros,Cambiar filtro de combustible,28,51,77,345.29
575,66,3,Cuchara y Brazo,Engrasar articulaciones,40,50,76,284.71
576,66,4,Motor,Inspeccionar correas,15,32,62,115.85
577,66,5,Sistema Hidráulico,Verificar cilindros,17,31,41,389.09
578,67,1,Sistema de Combustible,Limpiar trampa de agua,31,53,76,97.83
579,67,2,Sistema de Refrigeración,Cambiar refrigerante,34,46,65,535.23
580,67,3,Sistema Eléctrico,Revisar luces de trabajo,29,44,58,170.01
581,67,4,Sistema de Frenos,Revisar discos,34,53,72,342.0
582,67,5,Carrocería,Reparar abolladuras,20,45,68,571.21
583,67,6,Tren de Rodaje,Inspeccionar rodillos,43,66,89,241.43
584,67,7,Sistema de Escape,Cambiar empaques,43,54,76,171.51
585,67,8,Motor,Revisar soportes de motor,27,40,56,182.93
586,68,1,Sistema de Lubricación,Tomar muestra de aceite,26,38,51,565.36
587,68,2,Tren de Rodaje,Verificar sprockets,43,68,94,123.43
588,68,3,Sistema de Combustible,Cambiar cañerías,40,55,73,591.7
589,68,4,Carrocería,Lavar equipo completo,43,61,71,135.46
590,68,5,Motor,Inspeccionar correas,27,39,51,538.4
591,68,6,Filtros,Cambiar filtro de aire,24,49,79,259.33
592,68,7,Cuchara y Brazo,Verificar pasadores,35,50,79,384.61
593,68,8,Sistema de Transmisión,Verificar cardanes,41,70,85,291.57
594,68,9,Sistema de Escape,Revisar tubo de escape,38,60,86,242.64
595,68,10,Sistema de Refrigeración,Revisar bomba de agua,40,62,91,203.86
596,68,11,Sistema de Frenos,Ajustar frenos,43,57,87,458.6
597,68,12,Cabina,Limpiar filtros de aire acondicionado,19,39,59,574.11
598,69,1,Sistema de Refrigeración,Cambiar refrigerante,28,58,69,384.64
599,69,2,Sistema Eléctrico,Revisar batería,39,64,74,467.93
600,69,3,Filtros,Cambiar filtro de cabina,38,68,84,147.91
601,69,4,Sistema de Lubricación,Tomar muestra de aceite,37,54,64,314.59
602,69,5,Sistema de Combustible,Cambiar cañerías,17,43,64,438.06
603,69,6,Cuchara y Brazo,Engrasar articulaciones,19,40,56,315.11
604,69,7,Sistema Hidráulico,Medir presiones de bomba,39,66,87,590.48
605,69,8,Motor,Revisar nivel de refrigerante,34,44,59,577.84
606,69,9,Cabina,Limpiar filtros de aire acondicionado,27,56,73,288.58
607,69,10,Sistema de Frenos,Revisar pastillas,38,62,84,197.12
608,69,11,Neumáticos,Ajustar pernos de rueda,32,60,86,173.3
609,69,12,Sistema de Dirección,Engrasar articulaciones,23,42,70,297.23
610,69,13,Carrocería,Pintar partes oxidadas,35,58,74,386.25
611,69,14,Sistema de Transmisión,Revisar convertidor,20,40,57,385.41
612,69,15,Tren de Rodaje,Revisar tensión de cadena,40,63,90,165.94
613,70,1,Sistema de Dirección,Revisar bomba de dirección,42,58,79,216.95
614,70,2,Neumáticos,Inspeccionar desgaste,32,60,82,142.38
615,70,3,Sistema de Lubricación,Engrasar puntos de lubricación,44,67,81,116.82
616,70,4,Sistema Hidráulico,Revisar mangueras,39,65,86,208.83
617,71,1,Sistema de Dirección,Revisar bomba de dirección,26,53,77,338.22
618,71,2,Sistema de Lubricación,Verificar nivel de aceite,38,55,82,331.73
619,71,3,Cabina,Verificar tablero,29,39,51,407.59
620,71,4,Neumáticos,Reparar pinchazo,24,53,71,545.29
621,71,5,Sistema de Refrigeración,Cambiar refrigerante,42,56,86,592.76
622,72,1,Sistema de Frenos,Revisar pastillas,42,58,75,197.12
623,72,2,Neumáticos,Reparar pinchazo,28,58,84,260.92
624,72,3,Cabina,Verificar tablero,18,31,59,171.02
625,72,4,Sistema de Refrigeración,Cambiar refrigerante,18,41,51,371.65
626,72,5,Sistema Eléctrico,Revisar luces de trabajo,38,52,72,377.54
627,72,6,Tren de Rodaje,Inspeccionar rodillos,15,29,41,378.87
628,72,7,Cuchara y Brazo,Revisar dientes,35,59,84,241.87
629,72,8,Sistema de Combustible,Revisar inyectores,45,75,103,252.29
630,73,1,Sistema de Escape,Revisar tubo de escape,40,59,89,113.75
631,73,2,Cabina,Verificar controles,44,68,81,263.52
632,73,3,Sistema de Combustible,Cambiar cañerías,26,51,76,189.4
633,73,4,Tren de Rodaje,Verificar sprockets,45,67,96,355.41
634,73,5,Sistema de Refrigeración,Verificar termostato,43,70,80,296.16
635,73,6,Cuchara y Brazo,Revisar dientes,43,54,79,399.28
636,73,7,Sistema Eléctrico,Verificar motor de arranque,23,52,82,204.77
637,73,8,Carrocería,Pintar partes oxidadas,19,40,52,548.53
638,73,9,Sistema de Lubricación,Engrasar puntos de lubricación,21,45,58,393.46
639,73,10,Sistema Hidráulico,Verificar cilindros,44,66,87,518.46
640,73,11,Sistema de Frenos,Revisar discos,45,60,89,297.5
641,73,12,Filtros,Cambiar filtro de aire,39,67,84,174.22
642,74,1,Sistema de Dirección,Revisar terminales,44,58,69,372.74
643,74,2,Sistema de Frenos,Verificar líquido de frenos,28,40,62,266.7
644,74,3,Tren de Rodaje,Verificar sprockets,25,47,66,360.17
645,74,4,Cabina,Revisar asiento,21,44,64,130.67
646,74,5,Sistema Eléctrico,Verificar motor de arranque,18,47,66,403.55
647,74,6,Sistema Hidráulico,Revisar mangueras,23,35,63,353.64
648,74,7,Sistema de Combustible,Limpiar trampa de agua,29,55,82,495.91
649,74,8,Carrocería,Reparar abolladuras,32,50,75,314.52
650,74,9,Neumáticos,Reparar pinchazo,31,61,81,285.32
651,74,10,Filtros,Cambiar filtro de aceite,27,57,71,469.1
652,74,11,Sistema de Escape,Inspeccionar DPF,32,54,71,416.92
653,74,12,Sistema de Lubricación,Engrasar puntos de lubricación,17,39,49,120.03
654,74,13,Sistema de Transmisión,Engrasar crucetas,23,37,59,551.06
655,74,14,Motor,Revisar nivel de refrigerante,36,49,79,255.24
656,74,15,Sistema de Refrigeración,Limpiar radiador,40,67,80,169.09
657,75,1,Sistema de Combustible,Revisar inyectores,31,47,68,132.99
658,75,2,Cabina,Revisar cinturón de seguridad,40,56,82,406.19
659,75,3,Carrocería,Revisar vidrios,36,60,79,416.43
660,75,4,Sistema de Escape,Revisar tubo de escape,44,58,68,469.62
661,76,1,Tren de Rodaje,Medir desgaste de zapatas,21,31,51,367.98
662,76,2,Neumáticos,Inspeccionar desgaste,25,53,65,297.59
663,76,3,Sistema de Frenos,Revisar discos,25,43,57,389.42
664,76,4,Sistema de Refrigeración,Revisar bomba de agua,40,68,95,139.84
665,76,5,Cuchara y Brazo,Cambiar bocinas,32,56,82,80.28
666,77,1,Sistema de Combustible,Verificar bomba de combustible,31,43,55,528.11
667,77,2,Tren de Rodaje,Inspeccionar rodillos,42,56,76,306.35
668,77,3,Carrocería,Revisar vidrios,37,47,68,151.42
669,77,4,Motor,Verificar funcionamiento de motor,36,52,67,545.21
670,77,5,Sistema de Frenos,Purgar sistema de frenos,19,35,54,448.17
671,77,6,Sistema de Dirección,Engrasar articulaciones,42,61,80,137.97
672,77,7,Filtros,Cambiar filtro de cabina,31,55,81,255.08
673,77,8,Sistema de Refrigeración,Revisar bomba de agua,41,71,84,399.49
674,78,1,Sistema de Transmisión,Verificar cardanes,27,41,60,317.69
675,78,2,Motor,Verificar funcionamiento de motor,15,26,45,428.88
676,78,3,Carrocería,Lavar equipo completo,26,48,72,237.72
677,78,4,Sistema Eléctrico,Inspeccionar conexiones,29,59,77,349.69
678,78,5,Cuchara y Brazo,Verificar pasadores,39,60,73,512.79
679,78,6,Sistema de Escape,Verificar silenciador,40,57,81,538.15
680,78,7,Cabina,Verificar tablero,35,53,67,402.5
681,78,8,Sistema de Combustible,Drenar tanque,43,54,77,196.11
682,78,9,Neumáticos,Reparar pinchazo,24,50,80,321.59
683,78,10,Sistema de Refrigeración,Limpiar radiador,38,58,80,152.35
684,78,11,Sistema de Lubricación,Engrasar puntos de lubricación,42,55,69,327.74
685,78,12,Sistema Hidráulico,Cambiar aceite hidráulico,36,60,75,139.3
686,79,1,Cabina,Revisar asiento,22,32,57,158.15
687,79,2,Neumáticos,Inspeccionar desgaste,20,50,61,148.78
688,79,3,Sistema Hidráulico,Cambiar aceite hidráulico,33,59,83,565.77
689,79,4,Motor,Verificar funcionamiento de motor,37,55,84,83.4
690,79,5,Sistema de Lubricación,Cambiar aceite de motor,18,41,63,497.0
691,79,6,Sistema de Escape,Inspeccionar DPF,36,51,71,395.24
692,79,7,Cuchara y Brazo,Soldar refuerzos,22,37,58,112.67
693,79,8,Sistema de Frenos,Revisar discos,34,56,74,315.6
694,79,9,Sistema de Dirección,Revisar terminales,19,30,40,597.73
695,79,10,Sistema de Refrigeración,Limpiar radiador,19,47,70,486.2
696,79,11,Carrocería,Revisar vidrios,27,57,80,186.34
697,79,12,Sistema Eléctrico,Verificar motor de arranque,23,38,53,85.85
698,79,13,Sistema de Combustible,Verificar bomba de combustible,45,65,87,216.97
699,79,14,Filtros,Cambiar filtro de cabina,32,47,69,157.64
700,79,15,Sistema de Transmisión,Ajustar embrague,35,57,72,338.2
701,80,1,Cabina,Revisar asiento,17,37,53,587.56
702,80,2,Sistema de Lubricación,Engrasar puntos de lubricación,29,50,65,141.15
703,80,3,Neumáticos,Reparar pinchazo,19,49,78,90.58
704,80,4,Sistema de Escape,Revisar tubo de escape,25,45,62,243.86
705,81,1,Sistema de Combustible,Cambiar cañerías,16,46,73,194.08
706,81,2,Filtros,Limpiar pre-filtro,42,52,78,248.05
707,81,3,Sistema de Transmisión,Cambiar aceite de transmisión,39,62,73,398.8
708,81,4,Neumáticos,Ajustar pernos de rueda,23,47,68,224.95
709,81,5,Sistema Hidráulico,Verificar cilindros,43,58,87,580.2
710,82,1,Filtros,Cambiar filtro de aire,42,70,87,435.73
711,82,2,Sistema Eléctrico,Verificar alternador,19,42,69,583.24
712,82,3,Cabina,Revisar cinturón de seguridad,17,44,61,442.16
713,82,4,Sistema de Escape,Cambiar empaques,42,52,68,254.14
714,82,5,Sistema de Transmisión,Revisar convertidor,25,45,63,201.14
715,82,6,Sistema de Frenos,Revisar pastillas,34,54,82,150.13
716,82,7,Tren de Rodaje,Revisar tensión de cadena,41,67,93,581.11
717,82,8,Neumáticos,Inspeccionar desgaste,45,69,82,352.07
718,83,1,Sistema de Escape,Verificar silenciador,26,56,86,474.96
719,83,2,Sistema Hidráulico,Revisar mangueras,19,29,47,388.28
720,83,3,Cabina,Verificar tablero,40,65,90,346.37
721,83,4,Tren de Rodaje,Verificar sprockets,22,47,58,452.86
722,83,5,Filtros,Cambiar filtro de aceite,43,71,97,208.28
723,83,6,Sistema de Dirección,Engrasar articulaciones,15,34,49,299.27
724,83,7,Cuchara y Brazo,Revisar dientes,27,57,76,471.8
725,83,8,Sistema de Lubricación,Engrasar puntos de lubricación,29,49,74,566.0
726,83,9,Sistema Eléctrico,Revisar batería,29,54,67,157.93
727,83,10,Carrocería,Inspección visual,45,69,85,556.19
728,83,11,Sistema de Transmisión,Cambiar aceite de transmisión,21,50,63,541.84
729,83,12,Neumáticos,Reparar pinchazo,17,38,56,495.54
730,84,1,Sistema de Dirección,Alinear dirección,18,47,67,186.07
731,84,2,Sistema de Combustible,Revisar inyectores,29,42,61,421.57
732,84,3,Tren de Rodaje,Medir desgaste de zapatas,39,53,79,80.05
733,84,4,Neumáticos,Ajustar pernos de rueda,24,52,74,112.76
734,84,5,Sistema Eléctrico,Revisar batería,33,57,71,591.28
735,84,6,Motor,Revisar soportes de motor,25,38,49,204.72
736,84,7,Cabina,Verificar tablero,30,45,66,225.74
737,84,8,Sistema de Transmisión,Ajustar embrague,38,68,83,211.07
738,84,9,Cuchara y Brazo,Cambiar bocinas,17,35,53,373.69
739,84,10,Sistema de Refrigeración,Limpiar radiador,25,43,67,526.04
740,84,11,Filtros,Cambiar filtro de combustible,37,57,67,188.64
741,84,12,Sistema de Escape,Revisar turbo,34,53,72,484.34
742,84,13,Sistema Hidráulico,Cambiar sellos de cilindro,33,55,68,277.42
743,84,14,Sistema de Frenos,Ajustar frenos,45,68,92,335.84
744,84,15,Carrocería,Lavar equipo completo,20,43,73,453.97
745,85,1,Sistema de Escape,Inspeccionar DPF,39,64,92,183.95
746,85,2,Sistema de Refrigeración,Revisar mangueras,32,62,83,270.34
747,85,3,Neumáticos,Verificar presión,38,57,72,521.97
748,85,4,Cuchara y Brazo,Soldar refuerzos,24,48,74,523.79
749,86,1,Filtros,Cambiar filtro de aceite,34,45,74,291.25
750,86,2,Carrocería,Inspección visual,19,29,44,522.5
751,86,3,Sistema de Escape,Inspeccionar DPF,31,45,57,113.97
752,86,4,Sistema de Refrigeración,Limpiar radiador,25,53,65,121.29
753,86,5,Cabina,Verificar tablero,35,49,79,402.22
754,87,1,Sistema Eléctrico,Verificar alternador,25,49,74,242.5
755,87,2,Motor,Verificar funcionamiento de motor,15,34,50,477.84
756,87,3,Cuchara y Brazo,Revisar dientes,16,44,69,226.66
757,87,4,Sistema de Combustible,Revisar inyectores,31,50,60,231.37
758,87,5,Filtros,Cambiar filtro de cabina,37,54,80,499.84
759,87,6,Sistema de Lubricación,Verificar nivel de aceite,37,62,87,244.29
760,87,7,Sistema de Dirección,Verificar juego,17,34,54,277.86
761,87,8,Sistema de Frenos,Revisar pastillas,20,50,71,405.76
762,88,1,Sistema Hidráulico,Cambiar sellos de cilindro,41,56,71,374.55
763,88,2,Cuchara y Brazo,Cambiar bocinas,30,46,67,491.93
764,88,3,Carrocería,Pintar partes oxidadas,36,54,79,503.62
765,88,4,Sistema Eléctrico,Verificar motor de arranque,15,37,61,130.6
766,88,5,Sistema de Dirección,Engrasar articulaciones,40,52,64,280.53
767,88,6,Sistema de Refrigeración,Limpiar radiador,17,39,49,369.4
768,88,7,Sistema de Escape,Revisar turbo,15,39,69,414.32
769,88,8,Cabina,Limpiar filtros de aire acondicionado,36,64,82,553.69
770,88,9,Motor,Revisar soportes de motor,42,71,100,414.83
771,88,10,Sistema de Frenos,Purgar sistema de frenos,22,46,63,406.6
772,88,11,Sistema de Combustible,Cambiar cañerías,23,36,48,587.61
773,88,12,Tren de Rodaje,Inspeccionar rodillos,17,34,44,158.14
774,89,1,Sistema de Transmisión,Verificar cardanes,28,43,73,245.29
775,89,2,Sistema Eléctrico,Verificar motor de arranque,29,42,68,319.29
776,89,3,Tren de Rodaje,Revisar tensión de cadena,21,42,61,362.2
777,89,4,Sistema de Combustible,Drenar tanque,44,56,85,165.63
778,89,5,Sistema de Frenos,Verificar líquido de frenos,38,58,87,560.9
779,89,6,Sistema Hidráulico,Cambiar aceite hidráulico,42,52,68,404.27
780,89,7,Cuchara y Brazo,Verificar pasadores,42,60,78,567.31
781,89,8,Sistema de Dirección,Revisar bomba de dirección,45,75,97,276.59
782,89,9,Filtros,Cambiar filtro de cabina,18,45,68,367.14
783,89,10,Sistema de Lubricación,Tomar muestra de aceite,44,72,99,287.63
784,89,11,Carrocería,Lavar equipo completo,25,41,55,268.3
785,89,12,Sistema de Refrigeración,Revisar bomba de agua,38,63,86,186.52
